lsgi_code,lsgi_name,district,lsgi_type,number_of_wards,LDF,UDF,NDA,OTH,majority_number,largest_front,majority_front
B01001,Parassala,Thiruvananthapuram,Block Panchayat,15,3,12,0,0,8,UDF,UDF
B01002,Perumkadavila,Thiruvananthapuram,Block Panchayat,16,13,2,1,0,9,LDF,LDF
B01003,Athiyanoor,Thiruvananthapuram,Block Panchayat,14,4,9,1,0,8,UDF,UDF
B01004,Nemom,Thiruvananthapuram,Block Panchayat,18,9,4,5,0,10,LDF,No Majority
B01005,Pothencode,Thiruvananthapuram,Block Panchayat,14,5,7,2,0,8,UDF,No Majority
B01006,Vellanad,Thiruvananthapuram,Block Panchayat,17,8,9,0,0,9,UDF,UDF
B01007,Nedumangad,Thiruvananthapuram,Block Panchayat,15,11,4,0,0,8,LDF,LDF
B01008,Vamanapuram,Thiruvananthapuram,Block Panchayat,16,7,9,0,0,9,UDF,UDF
B01009,Kilimanoor,Thiruvananthapuram,Block Panchayat,16,9,7,0,0,9,LDF,LDF
B01010,Chirayinkeezhu,Thiruvananthapuram,Block Panchayat,14,4,7,3,0,8,UDF,No Majority
B01011,Varkala,Thiruvananthapuram,Block Panchayat,14,9,3,2,0,8,LDF,LDF
B02012,Oachira,Kollam,Block Panchayat,16,7,9,0,0,9,UDF,UDF
B02013,Sasthamcotta,Kollam,Block Panchayat,15,9,5,1,0,8,LDF,LDF
B02014,Vettikavala,Kollam,Block Panchayat,15,8,7,0,0,8,LDF,LDF
B02015,Pathanapuram,Kollam,Block Panchayat,14,4,10,0,0,8,UDF,UDF
B02016,Anchal,Kollam,Block Panchayat,16,11,5,0,0,9,LDF,LDF
B02017,Kottarakara,Kollam,Block Panchayat,14,10,3,1,0,8,LDF,LDF
B02018,Chittumala,Kollam,Block Panchayat,14,7,6,1,0,8,LDF,No Majority
B02019,Chavara,Kollam,Block Panchayat,14,5,9,0,0,8,UDF,UDF
B02020,Mukhathala,Kollam,Block Panchayat,17,8,8,1,0,9,TIE,TIE
B02021,Chadayamangalam,Kollam,Block Panchayat,17,10,7,0,0,9,LDF,LDF
B02022,Ithikara,Kollam,Block Panchayat,14,10,1,2,1,8,LDF,LDF
B03023,Mallappally,Pathanamthitta,Block Panchayat,14,3,10,1,0,8,UDF,UDF
B03024,Pulikkeezhu,Pathanamthitta,Block Panchayat,14,4,10,0,0,8,UDF,UDF
B03025,Koipuram,Pathanamthitta,Block Panchayat,14,4,9,1,0,8,UDF,UDF
B03026,Elanthoor,Pathanamthitta,Block Panchayat,14,2,12,0,0,8,UDF,UDF
B03027,Ranni,Pathanamthitta,Block Panchayat,14,4,10,0,0,8,UDF,UDF
B03028,Konni,Pathanamthitta,Block Panchayat,14,7,7,0,0,8,TIE,TIE
B03029,Pandalam,Pathanamthitta,Block Panchayat,14,3,8,3,0,8,UDF,UDF
B03030,Parakodu,Pathanamthitta,Block Panchayat,16,6,9,1,0,9,UDF,UDF
B04031,Thykkattussery,Alappuzha,Block Panchayat,14,7,6,1,0,8,LDF,No Majority
B04032,Pattanakkad,Alappuzha,Block Panchayat,15,5,8,1,1,8,UDF,UDF
B04033,Kanjikkuzhy,Alappuzha,Block Panchayat,14,13,1,0,0,8,LDF,LDF
B04034,Aryad,Alappuzha,Block Panchayat,14,12,1,0,1,8,LDF,LDF
B04035,Ambalappuzha,Alappuzha,Block Panchayat,14,5,8,1,0,8,UDF,UDF
B04036,Champakkulam,Alappuzha,Block Panchayat,14,6,8,0,0,8,UDF,UDF
B04037,Veliyanad,Alappuzha,Block Panchayat,14,6,6,2,0,8,TIE,TIE
B04038,Chengannur,Alappuzha,Block Panchayat,14,8,4,2,0,8,LDF,LDF
B04039,Harippad,Alappuzha,Block Panchayat,14,6,8,0,0,8,UDF,UDF
B04040,Mavelikkara,Alappuzha,Block Panchayat,14,9,4,1,0,8,LDF,LDF
B04041,Bharanikkavu,Alappuzha,Block Panchayat,14,10,4,0,0,8,LDF,LDF
B04042,Muthukulam,Alappuzha,Block Panchayat,15,9,6,0,0,8,LDF,LDF
B05043,Vaikom,Kottayam,Block Panchayat,14,13,1,0,0,8,LDF,LDF
B05044,Kaduthuruthy,Kottayam,Block Panchayat,14,3,11,0,0,8,UDF,UDF
B05045,Ettumanoor,Kottayam,Block Panchayat,14,5,9,0,0,8,UDF,UDF
B05046,Uzhavoor,Kottayam,Block Panchayat,14,4,10,0,0,8,UDF,UDF
B05047,Lalam,Kottayam,Block Panchayat,14,3,10,0,1,8,UDF,UDF
B05048,Erattupetta,Kottayam,Block Panchayat,14,4,8,2,0,8,UDF,UDF
B05049,Pampady,Kottayam,Block Panchayat,15,1,14,0,0,8,UDF,UDF
B05050,Madappally,Kottayam,Block Panchayat,14,2,11,1,0,8,UDF,UDF
B05051,Vazhoor,Kottayam,Block Panchayat,14,8,5,1,0,8,LDF,LDF
B05052,Kanjirappally,Kottayam,Block Panchayat,16,3,12,0,1,9,UDF,UDF
B05053,Pallom,Kottayam,Block Panchayat,14,4,10,0,0,8,UDF,UDF
B06054,Adimali,Idukki,Block Panchayat,14,2,12,0,0,8,UDF,UDF
B06055,Devikulam,Idukki,Block Panchayat,14,8,6,0,0,8,LDF,LDF
B06056,Nedumkandom,Idukki,Block Panchayat,14,5,9,0,0,8,UDF,UDF
B06057,Elamdesom,Idukki,Block Panchayat,14,1,13,0,0,8,UDF,UDF
B06058,Idukki,Idukki,Block Panchayat,14,1,12,0,1,8,UDF,UDF
B06059,Kattappana,Idukki,Block Panchayat,14,2,12,0,0,8,UDF,UDF
B06060,Thodupuzha,Idukki,Block Panchayat,14,2,10,0,2,8,UDF,UDF
B06061,Azhutha,Idukki,Block Panchayat,14,3,11,0,0,8,UDF,UDF
B07062,Paravur,Ernakulam,Block Panchayat,14,5,9,0,0,8,UDF,UDF
B07063,Alangad,Ernakulam,Block Panchayat,14,3,11,0,0,8,UDF,UDF
B07064,Angamali,Ernakulam,Block Panchayat,15,0,15,0,0,8,UDF,UDF
B07065,Koovapady,Ernakulam,Block Panchayat,14,1,13,0,0,8,UDF,UDF
B07066,Vazhakulam,Ernakulam,Block Panchayat,17,0,13,0,4,9,UDF,UDF
B07067,Edappally,Ernakulam,Block Panchayat,14,1,11,0,2,8,UDF,UDF
B07068,Vypin,Ernakulam,Block Panchayat,14,8,6,0,0,8,LDF,LDF
B07069,Palluruthy,Ernakulam,Block Panchayat,14,3,11,0,0,8,UDF,UDF
B07070,Mulanthuruthy,Ernakulam,Block Panchayat,14,2,12,0,0,8,UDF,UDF
B07071,Vadavukode,Ernakulam,Block Panchayat,14,5,5,0,4,8,TIE,TIE
B07072,Kothamangalam,Ernakulam,Block Panchayat,16,3,13,0,0,9,UDF,UDF
B07073,Pambakkuda,Ernakulam,Block Panchayat,14,2,11,0,1,8,UDF,UDF
B07074,Parakkadavu,Ernakulam,Block Panchayat,14,3,11,0,0,8,UDF,UDF
B07075,Muvattupuzha,Ernakulam,Block Panchayat,14,0,13,0,1,8,UDF,UDF
B08076,Chavakkad,Thrissur,Block Panchayat,14,2,12,0,0,8,UDF,UDF
B08077,Chowannur,Thrissur,Block Panchayat,16,13,3,0,0,9,LDF,LDF
B08078,Wadakkanchery,Thrissur,Block Panchayat,14,7,6,0,1,8,LDF,No Majority
B08079,Pazhayannur,Thrissur,Block Panchayat,15,12,1,1,1,8,LDF,LDF
B08080,Ollukkara,Thrissur,Block Panchayat,14,9,5,0,0,8,LDF,LDF
B08081,Puzhakkal,Thrissur,Block Panchayat,14,7,7,0,0,8,TIE,TIE
B08082,Mullassery,Thrissur,Block Panchayat,14,6,7,0,1,8,UDF,No Majority
B08083,Thalikulam,Thrissur,Block Panchayat,14,6,7,0,1,8,UDF,No Majority
B08084,Mathilakam,Thrissur,Block Panchayat,16,13,2,1,0,9,LDF,LDF
B08085,Anthikkad,Thrissur,Block Panchayat,14,12,2,0,0,8,LDF,LDF
B08086,Cherpu,Thrissur,Block Panchayat,14,7,5,2,0,8,LDF,No Majority
B08087,Kodakara,Thrissur,Block Panchayat,16,10,6,0,0,9,LDF,LDF
B08088,Irinjalakuda,Thrissur,Block Panchayat,14,11,2,1,0,8,LDF,LDF
B08089,Vellangallur,Thrissur,Block Panchayat,14,12,2,0,0,8,LDF,LDF
B08090,Mala,Thrissur,Block Panchayat,14,3,11,0,0,8,UDF,UDF
B08091,Chalakudy,Thrissur,Block Panchayat,14,4,10,0,0,8,UDF,UDF
B09092,Thrithala,Palakkad,Block Panchayat,16,8,8,0,0,9,TIE,TIE
B09093,Pattambi,Palakkad,Block Panchayat,16,4,11,0,1,9,UDF,UDF
B09094,Ottappalam,Palakkad,Block Panchayat,17,14,3,0,0,9,LDF,LDF
B09095,Sreekrishnapuram,Palakkad,Block Panchayat,14,8,6,0,0,8,LDF,LDF
B09096,Mannarkad,Palakkad,Block Panchayat,18,1,16,0,1,10,UDF,UDF
B09097,Attapadi,Palakkad,Block Panchayat,14,4,9,1,0,8,UDF,UDF
B09098,Palakkad,Palakkad,Block Panchayat,15,11,3,1,0,8,LDF,LDF
B09099,Kuzhalmandam,Palakkad,Block Panchayat,14,10,4,0,0,8,LDF,LDF
B09100,Chittoor,Palakkad,Block Panchayat,15,12,3,0,0,8,LDF,LDF
B09101,Kollankode,Palakkad,Block Panchayat,15,10,5,0,0,8,LDF,LDF
B09102,Nenmara,Palakkad,Block Panchayat,14,12,2,0,0,8,LDF,LDF
B09103,Malampuzha,Palakkad,Block Panchayat,15,11,2,2,0,8,LDF,LDF
